施設ID,施設名,カテゴリ,電話番号,郵便番号,所在地
F001,架空市立中央図書館,図書館,011-000-1111,060-0000,架空市中央区本町一丁目2番3号
F002,架空市立　中央図書館,図書館,0110001111,０６０－００００,架空市中央区本町1-2-3
F003,みどりが丘公園体育館,スポーツ施設,011-000-2222,060-0011,架空市緑区みどりが丘4-5
F004,みどりヶ丘公園体育館,体育館,011-000-2222,060-0011,架空市緑区みどりヶ丘四丁目5番
F005,架空市民文化ホール,文化施設,011-000-3333,060-0022,架空市中央区大通西6丁目7番地
F006,かくう市民文化ホール,ホール,011-000-3334,060-0022,架空市中央区大通西6-7
F007,ひまわり児童館,児童福祉施設,011-000-4444,060-0033,架空市東区ひまわり町8番9号
F008,架空市保健センター,保健施設,011-000-5555,060-0044,架空市中央区南三条西10丁目
F009,架空市スポーツセンター,スポーツ施設,011-000-6666,060-0055,架空市西区体育町11-12
F010,ひまわり保育園,保育施設,011-000-7777,060-0033,架空市東区ひまわり町8-10
